Total words: 114029
word:  in frequency: 16
word: william frequency: 16
word: eye frequency: 16
word: mine frequency: 16
word: quarter frequency: 16
word: harvey frequency: 16
word: snakes frequency: 16
word: sung frequency: 16
word: “now frequency: 15
word: dat’s frequency: 15
word: shoulder frequency: 15
word: louis frequency: 15
word: making frequency: 15
word: wreck frequency: 15
word: illinois frequency: 15
word: sings frequency: 15
word: arm frequency: 15
word: mos’ frequency: 15
word: “we frequency: 15
word: church frequency: 15
word: jump frequency: 15
word: cat frequency: 15
word: begin frequency: 15
word: do” frequency: 15
word: walk frequency: 15
word: we’ve frequency: 15
word: likely frequency: 15
word: noise frequency: 15
word: setting frequency: 15
word: lonesome frequency: 15
word: standing frequency: 15
word: slip frequency: 15
word: count frequency: 15
word: smoke frequency: 15
word: having frequency: 15
word: sheet frequency: 15
word: hang frequency: 15
word: grabbed frequency: 15
word: fur frequency: 15
word: dis frequency: 15
word: job frequency: 15
word: stayed frequency: 15
word: donations frequency: 15
word: s’pose frequency: 15
word:  pretty frequency: 15
word: ain’ frequency: 15
word: too” frequency: 15
word: others frequency: 15
word: coat frequency: 15
word: quit frequency: 15
word: letting frequency: 15
word: inside frequency: 15
word:  all frequency: 15
word:  that’s frequency: 15
word: son frequency: 14
word: tight frequency: 14
word: notion frequency: 14
word: we’re frequency: 14
word: wild frequency: 14
word: handy frequency: 14
word: played frequency: 14
word: death frequency: 14
word: “how frequency: 14
word:  one frequency: 14
word: leaves frequency: 14
word: bread frequency: 14
word: truck frequency: 14
word: chaw frequency: 14
word: please frequency: 14
word: they’ll frequency: 14
word: beat frequency: 14
word: fault frequency: 14
word: tom’s frequency: 14
word: england frequency: 14
word: chain frequency: 14
word: lie frequency: 14
word: blue frequency: 14
word: straw frequency: 14
word: style frequency: 14
word: orleans frequency: 14
word: forty frequency: 14
word: knees frequency: 14
word: lawyer frequency: 14
word: thinks frequency: 14
word: kinds frequency: 14
word: wouldn’ frequency: 14
word: stuff frequency: 14
word: books frequency: 14
word: license frequency: 14
word: watched frequency: 14
word: sister frequency: 14
word: held frequency: 14
word: break frequency: 14
word: paddle frequency: 14
word: signs frequency: 14
word: sich frequency: 14
word: heah frequency: 14
word: soft frequency: 14
word: few frequency: 14
word: fence frequency: 14
word: rode frequency: 14
word: takes frequency: 14
word: brass frequency: 14
word: wind frequency: 13
word: play frequency: 13
word: time” frequency: 13
word: bother frequency: 13
